farmer_id,application_year,district,land_area_acres,crop_type,pm_kisan_status,historical_repayment_score,irrigation_type,land_ownership,soil_type,sales_channel,annual_income_inr,liability_ratio_pct,rainfall_deviation_pct,ndvi_score,defaulted_in_next_12_months,target_entitlement_score
F00001,2023,Cuttack,16.71,Soybean,Yes,59.77,Irrigated,Owned,Black,APMC,377500.53,41.14,-13.64,0.466,0,689.88
F00002,2022,Puri,11.72,Wheat,Yes,60.84,Rainfed,Owned,Alluvial,FPO,384595.39,5.51,,0.5,0,810.97
F00003,2023,Puri,10.44,Soybean,Yes,54.06,Rainfed,Owned,Laterite,Contract Buyer,223024.07,2.93,-9.77,0.789,0,845.49
F00004,2023,Mayurbhanj,6.72,Cotton,Yes,45.04,Irrigated,Owned,Clay Loam,Local Trader,417534.25,20.08,32.19,,0,690.4
F00005,2023,Ganjam,11.28,Wheat,No,57.73,Irrigated,Owned,Laterite,Local Trader,206349.85,8.8,0.51,0.56,0,798.32
F00006,2022,Bhadrak,5.3,Cotton,Yes,71.88,Rainfed,Owned,Clay Loam,APMC,443127.34,27.86,,0.531,0,770.12
F00007,2022,Mayurbhanj,17.38,Sugarcane,Yes,97.57,Rainfed,Tenant,Clay Loam,Contract Buyer,533723.97,1.19,,,0,980
F00008,2022,Ganjam,12.48,Rice,No,46.34,Rainfed,Owned,Black,Local Trader,574385.99,8.26,,0.434,0,726.72
F00009,2023,Mayurbhanj,8.22,Cotton,Yes,63.89,Irrigated,Owned,Laterite,Local Trader,309133.02,19.1,1.59,,0,735.23
F00010,2023,Cuttack,0.51,Rice,Yes,80.28,Rainfed,Owned,Clay Loam,Contract Buyer,210528.42,14.7,-6.22,0.42,0,762.58
F00011,2024,Mayurbhanj,10.35,Sugarcane,No,36.13,Irrigated,Tenant,Laterite,APMC,612313.2,1.18,-6.76,0.486,0,853.79
F00012,2022,Cuttack,14.69,Wheat,No,57.73,Irrigated,Tenant,Red,Contract Buyer,153747.88,20.67,26.32,0.567,0,764.51
F00013,2023,Puri,8.61,Millets,Yes,84.69,Irrigated,Tenant,Black,APMC,241165.76,20.72,41.46,0.552,0,780.88
F00014,2024,Balasore,8.85,Maize,Yes,70.03,Irrigated,Owned,Red,FPO,525358.13,41.67,15.17,0.715,0,768.4
F00015,2022,Ganjam,9.65,Rice,Yes,61.41,Irrigated,Tenant,Red,FPO,477743.44,31.53,3.18,0.5,0,682.34
F00016,2024,Bhadrak,4.36,Soybean,No,64.56,Rainfed,Tenant,Sandy Loam,Local Trader,369996.79,6.29,-20.53,0.595,1,683.17
F00017,2022,Balasore,14,Sugarcane,Yes,43.97,Irrigated,Tenant,Laterite,APMC,404872.87,25.02,-2.11,0.446,0,723.72
F00018,2024,Bhadrak,3.72,Rice,Yes,65.61,Irrigated,Owned,Red,FPO,549440.81,6.17,14.12,0.49,0,876.34
F00019,2023,Cuttack,16.8,Wheat,Yes,68.29,Rainfed,Tenant,Laterite,Local Trader,415980.97,28.67,-0.17,0.753,0,795.57
F00020,2022,Balasore,1.69,Maize,No,80.08,Irrigated,Tenant,Black,FPO,168212.37,14.53,23.88,0.627,0,633.79
F00021,2024,Balasore,11.98,Cotton,Yes,76.23,Irrigated,Owned,Clay Loam,Local Trader,269787.88,12.18,42.38,0.301,0,758.48
F00022,2022,Ganjam,7.88,Cotton,No,93.63,Irrigated,Owned,Alluvial,Local Trader,572396.03,23.47,11.5,0.504,0,747.07
F00023,2023,Cuttack,9.65,Maize,Yes,100,Rainfed,Owned,Laterite,Local Trader,414402.88,36.59,-22.5,0.744,0,832.44
F00024,2024,Balasore,5.29,Cotton,Yes,78.19,Irrigated,Owned,Red,APMC,465929.05,0.75,-25.17,0.634,0,910.92
